time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
18881,4693420,6967689,6552048,6301162,8388607,8388607,8388607,8388607
19007,4693720,6964947,6551984,6300459,8388607,8388607,8388607,8388607
19135,4694827,6963117,6551720,6300000,8388607,8388607,8388607,8388607
19256,4694172,6962980,6551638,6300359,8388607,8388607,8388607,8388607
19381,4694523,6963266,6551948,6300214,8388607,8388607,8388607,8388607
19501,4694323,6962705,6552433,6300261,8388607,8388607,8388607,8388607
19624,4693869,6960286,6553475,6299938,8388607,8388607,8388607,8388607
19756,4691749,6959787,6553512,6299614,8388607,8388607,8388607,8388607
19885,4692929,6959170,6553784,6299506,8388607,8388607,8388607,8388607
20063,4691014,6956110,6554523,6298974,8388607,8388607,8388607,8388607
20337,4693139,6957308,6556624,6300928,8388607,8388607,8388607,8388607
20465,4693984,6954888,6555994,6299477,8388607,8388607,8388607,8388607
20588,4694320,6951977,6555783,6298792,8388607,8388607,8388607,8388607
20716,4692574,6951954,6555037,6298765,8388607,8388607,8388607,8388607
20850,4692411,6947898,6556055,6298203,8388607,8388607,8388607,8388607
20984,4692740,6947500,6556345,6298082,8388607,8388607,8388607,8388607
21114,4694754,6945127,6556439,6297914,8388607,8388607,8388607,8388607
21239,4694696,6943979,6556272,6297344,8388607,8388607,8388607,8388607
21372,4694612,6942684,6555513,6296516,8388607,8388607,8388607,8388607
21495,4695293,6940976,6556811,6297116,8388607,8388607,8388607,8388607
21623,4693376,6940944,6555320,6296638,8388607,8388607,8388607,8388607

1094,4835350,6918684,6636040,6409869,8388607,8388607,8388607,8388607
1224,4826858,6916067,6631919,6404589,8388607,8388607,8388607,8388607
1359,4821359,6909680,6628579,6399138,8388607,8388607,8388607,8388607
1491,4815691,6905932,6624907,6394587,8388607,8388607,8388607,8388607
1623,4810577,6904119,6620983,6390323,8388607,8388607,8388607,8388607
1757,4807663,6898820,6618689,6386114,8388607,8388607,8388607,8388607
1893,4805361,6896244,6615901,6382678,8388607,8388607,8388607,8388607
2028,4801388,6894242,6611887,6378670,8388607,8388607,8388607,8388607
2161,4799538,6889742,6609833,6375376,8388607,8388607,8388607,8388607
2294,4797387,6887490,6607919,6372805,8388607,8388607,8388607,8388607
2428,4795720,6886884,6604497,6369932,8388607,8388607,8388607,8388607
2562,4794503,6882614,6603284,6367327,8388607,8388607,8388607,8388607
2699,4793626,6879998,6601159,6364315,8388607,8388607,8388607,8388607
2882,4791023,6875814,6597944,6360451,8388607,8388607,8388607,8388607
3011,4790893,6875966,6596195,6359119,8388607,8388607,8388607,8388607
3286,4787691,6873535,6594332,6355854,8388607,8388607,8388607,8388607
3422,4787323,6868483,6592324,6352501,8388607,8388607,8388607,8388607
3556,4786364,6868327,6590789,6351020,8388607,8388607,8388607,8388607
3690,4785769,6866833,6589147,6348728,8388607,8388607,8388607,8388607
3825,4786619,6863099,6588853,6347005,8388607,8388607,8388607,8388607
3956,4783887,6862582,6587251,6345383,8388607,8388607,8388607,8388607
4093,4782124,6860300,6586803,6343466,8388607,8388607,8388607,8388607
4235,4782657,6860508,6584345,6341619,8388607,8388607,8388607,8388607
4371,4780259,6858240,6584215,6339941,8388607,8388607,8388607,8388607
4515,4779323,6856094,6583405,6338214,8388607,8388607,8388607,8388607
4658,4777290,6854388,6581856,6336538,8388607,8388607,8388607,8388607
4852,4774923,6853752,6580120,6334411,8388607,8388607,8388607,8388607
4992,4776856,6855515,6579379,6333767,8388607,8388607,8388607,8388607
5130,4773609,6855424,6578321,6332056,8388607,8388607,8388607,8388607
5275,4774310,6855534,6577294,6330478,8388607,8388607,8388607,8388607
5589,4770950,6862002,6576386,6329050,8388607,8388607,8388607,8388607
5709,4769773,6861482,6574884,6327173,8388607,8388607,8388607,8388607
5835,4768322,6860578,6574259,6325653,8388607,8388607,8388607,8388607
5960,4768858,6860601,6573875,6324714,8388607,8388607,8388607,8388607
6088,4769117,6860621,6572176,6323476,8388607,8388607,8388607,8388607
6210,4767164,6862498,6571477,6322938,8388607,8388607,8388607,8388607
6329,4765546,6863423,6570618,6321904,8388607,8388607,8388607,8388607
6453,4764795,6862187,6570382,6321211,8388607,8388607,8388607,8388607
6576,4764248,6861101,6570107,6320518,8388607,8388607,8388607,8388607
6754,4762094,6861797,6567242,6318703,8388607,8388607,8388607,8388607
6876,4763324,6862158,6568015,6318272,8388607,8388607,8388607,8388607
6999,4762508,6860267,6567366,6316916,8388607,8388607,8388607,8388607
7125,4762012,6859693,6566824,6315680,8388607,8388607,8388607,8388607
7252,4761823,6860462,6565501,6315309,8388607,8388607,8388607,8388607
7371,4760191,6861807,6564809,6315234,8388607,8388607,8388607,8388607
7632,4757945,6867402,6564631,6314507,8388607,8388607,8388607,8388607
7760,4757487,6867464,6563253,6312526,8388607,8388607,8388607,8388607
7887,4756080,6873285,6564254,6315229,8388607,8388607,8388607,8388607

1017,4846596,6965793,6620515,6418720,8388607,8388607,8388607,8388607
1142,4830426,6965519,6621127,6415369,8388607,8388607,8388607,8388607
1273,4826418,6965018,6618315,6412863,8388607,8388607,8388607,8388607
1448,4815569,6962059,6612978,6402146,8388607,8388607,8388607,8388607
1569,4814405,6964947,6614907,6399849,8388607,8388607,8388607,8388607
1698,4805911,6960042,6607912,6390983,8388607,8388607,8388607,8388607
1831,4792479,6957574,6601364,6385503,8388607,8388607,8388607,8388607
1962,4798379,6958527,6600563,6381783,8388607,8388607,8388607,8388607
2086,4799004,6958254,6599232,6376715,8388607,8388607,8388607,8388607
2214,4783947,6955421,6594436,6375905,8388607,8388607,8388607,8388607
2344,4790986,6961191,6597723,6374402,8388607,8388607,8388607,8388607
2471,4780454,6956945,6591617,6372655,8388607,8388607,8388607,8388607

156308,4636517,6929568,6524761,6265219,8388607,8388607,8388607,8388607
156441,4633753,6930026,6524033,6266645,8388607,8388607,8388607,8388607
156580,4637222,6928041,6523345,6265347,8388607,8388607,8388607,8388607
156710,4636568,6926082,6525318,6263918,8388607,8388607,8388607,8388607
156840,4634091,6928476,6524687,6265791,8388607,8388607,8388607,8388607
156976,4637398,6927705,6524645,6265398,8388607,8388607,8388607,8388607
157109,4637891,6927834,6526425,6264040,8388607,8388607,8388607,8388607
157242,4637088,6927932,6524550,6264644,8388607,8388607,8388607,8388607
157378,4638202,6927200,6524151,6264558,8388607,8388607,8388607,8388607
157513,4641183,6926210,6525662,6263252,8388607,8388607,8388607,8388607
157646,4639280,6926271,6524635,6263889,8388607,8388607,8388607,8388607
157779,4639724,6926286,6523170,6263649,8388607,8388607,8388607,8388607
157965,4637175,6926285,6521737,6263403,8388607,8388607,8388607,8388607
158095,4640056,6925987,6522906,6261863,8388607,8388607,8388607,8388607
158235,4634499,6927736,6522770,6264193,8388607,8388607,8388607,8388607
158541,4639286,6932735,6525097,6265665,8388607,8388607,8388607,8388607
158686,4638469,6929964,6522880,6262113,8388607,8388607,8388607,8388607
158825,4641611,6930211,6521722,6262875,8388607,8388607,8388607,8388607
158957,4642937,6928603,6522325,6260357,8388607,8388607,8388607,8388607
159090,4641307,6930473,6522025,6261739,8388607,8388607,8388607,8388607
159228,4638932,6928679,6521415,6260520,8388607,8388607,8388607,8388607

