time in ms,temp 1,temp 2,temp 3,temp 4,temp 5,temp 6,temp 7,temp 8,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
62386,12.55956,35.01398,35.25771,35.21908,35.08315,34.96818,16.42801,15.5722,8388607,3630802,3352873,3494416,2262372,2110379,8388607,8388607
62599,12.55956,35.01133,35.25695,35.21035,35.09148,34.96929,16.42801,15.5722,8388607,3631585,3353103,3496988,2259821,2110041,8388607,8388607
62742,12.55956,35.01649,35.25818,35.20882,35.08564,34.97048,16.42801,15.5722,8388607,3630059,3352731,3497440,2261611,2109679,8388607,8388607
62886,12.55956,35.01302,35.25663,35.21761,35.08318,34.9697,16.42801,15.5722,8388607,3631084,3353200,3494851,2262364,2109915,8388607,8388607
63029,12.55956,35.0166,35.25204,35.21263,35.07795,34.96682,16.42801,15.5722,8388607,3630024,3354586,3496316,2263965,2110792,8388607,8388607
63182,12.55956,35.00984,35.25733,35.2126,35.08252,34.96635,16.42801,15.5722,8388607,3632028,3352987,3496326,2262566,2110934,8388607,8388607
63335,12.55956,35.01621,35.25955,35.20587,35.07841,34.95975,16.42801,15.5722,8388607,3630140,3352317,3498310,2263825,2112947,8388607,8388607
63479,12.55956,35.00777,35.25876,35.21008,35.0883,34.96506,16.42801,15.5722,8388607,3632642,3352557,3497070,2260794,2111330,8388607,8388607
63662,12.55956,35.01263,35.25947,35.21304,35.08602,34.96974,16.42801,15.5722,8388607,3631200,3352340,3496196,2261494,2109905,8388607,8388607
63795,12.55956,35.01815,35.25786,35.21086,35.08012,34.96104,16.42801,15.5722,8388607,3629567,3352829,3496840,2263301,2112552,8388607,8388607
63928,12.55956,35.02984,35.25465,35.21526,35.07717,34.96418,16.42801,15.5722,8388607,3626103,3353797,3495541,2264205,2111598,8388607,8388607
64061,12.55956,35.01881,35.25066,35.21395,35.0853,34.96519,16.42801,15.5722,8388607,3629372,3355006,3495926,2261712,2111290,8388607,8388607
64195,12.55956,35.01987,35.25862,35.21606,35.08683,34.96362,16.42801,15.5722,8388607,3629057,3352597,3495307,2261246,2111767,8388607,8388607
64388,12.55956,35.024,35.26148,35.23083,35.08074,34.96763,16.42801,15.5722,8388607,3627834,3351732,3490952,2263110,2110547,8388607,8388607
64521,12.55956,35.01773,35.2582,35.21763,35.07631,34.9624,16.42801,15.5722,8388607,3629691,3352727,3494845,2264468,2112138,8388607,8388607
64654,12.55956,35.02062,35.2563,35.22012,35.08149,34.96403,16.42801,15.5722,8388607,3628836,3353301,3494111,2262883,2111642,8388607,8388607
64788,12.55956,35.02752,35.25461,35.22557,35.07493,34.9656,16.42801,15.5722,8388607,3626790,3353811,3492502,2264891,2111163,8388607,8388607
64921,12.55956,35.01618,35.25717,35.22835,35.08255,34.96955,16.42801,15.5722,8388607,3630149,3353039,3491685,2262558,2109961,8388607,8388607
65054,12.55956,35.01358,35.25671,35.21985,35.0738,34.96085,16.42801,15.5722,8388607,3630919,3353177,3494190,2265239,2112611,8388607,8388607
65187,12.55956,35.01714,35.25178,35.21772,35.07537,34.96787,16.42801,15.5722,8388607,3629865,3354667,3494817,2264757,2110474,8388607,8388607
65321,12.55956,35.01226,35.25875,35.21763,35.08065,34.96206,16.42801,15.5722,8388607,3631310,3352558,3494845,2263139,2112244,8388607,8388607
65454,12.55956,35.02248,35.2584,35.21561,35.07993,34.96582,16.42801,15.5722,8388607,3628284,3352666,3495440,2263361,2111098,8388607,8388607
65587,12.55956,35.02523,35.248,35.21859,35.07403,34.96817,16.42801,15.5722,8388607,3627470,3355811,3494561,2265167,2110383,8388607,8388607
65730,12.55956,35.02167,35.25525,35.21412,35.07568,34.9656,16.42801,15.5722,8388607,3628524,3353619,3495878,2264664,2111166,8388607,8388607
65874,12.55956,35.01179,35.25372,35.20922,35.07967,34.9697,16.42801,15.5722,8388607,3631448,3354080,3497320,2263438,2109914,8388607,8388607
66077,12.55956,35.01578,35.25848,35.21193,35.08162,34.9673,16.42801,15.5722,8388607,3630268,3352642,3496524,2262841,2110648,8388607,8388607
66220,12.55956,35.0147,35.26234,35.21282,35.07954,34.9669,16.42801,15.5722,8388607,3630587,3351472,3496260,2263479,2110769,8388607,8388607
66363,12.55956,35.0245,35.26469,35.2153,35.06749,34.97069,16.42801,15.5722,8388607,3627687,3350761,3495529,2267174,2109615,8388607,8388607
66507,12.55956,35.02075,35.25765,35.22152,35.06798,34.9703,16.42801,15.5722,8388607,3628796,3352891,3493696,2267022,2109734,8388607,8388607
66650,12.55956,35.02206,35.25322,35.21662,35.07155,34.97232,16.42801,15.5722,8388607,3628409,3354230,3495139,2265929,2109117,8388607,8388607
66793,12.55956,35.01607,35.2567,35.21718,35.07049,34.96617,16.42801,15.5722,8388607,3630182,3353179,3494977,2266254,2110990,8388607,8388607
66936,12.55956,35.00771,35.25792,35.21336,35.07528,34.96706,16.42801,15.5722,8388607,3632657,3352809,3496102,2264785,2110718,8388607,8388607
67080,12.55956,35.00594,35.26257,35.2098,35.07514,34.97328,16.42801,15.5722,8388607,3633184,3351404,3497150,2264829,2108826,8388607,8388607
67223,12.55956,35.01455,35.25729,35.21804,35.07973,34.97669,16.42801,15.5722,8388607,3630634,3353000,3494722,2263421,2107787,8388607,8388607
67366,12.55956,35.01033,35.25551,35.21227,35.07108,34.98039,16.42801,15.5722,8388607,3631882,3353539,3496423,2266072,2106659,8388607,8388607
67509,12.55956,35.00753,35.25237,35.2169,35.07228,34.97845,16.42801,15.5722,8388607,3632710,3354488,3495058,2265704,2107250,8388607,8388607
67653,12.55956,35.01199,35.25698,35.20854,35.07049,34.97268,16.42801,15.5722,8388607,3631391,3353095,3497522,2266253,2109008,8388607,8388607
67896,12.55956,35.01098,35.266,35.21308,35.07632,34.97694,16.42801,15.5722,8388607,3631689,3350365,3496185,2264464,2107709,8388607,8388607
68019,12.55956,35.00639,35.26325,35.20536,35.0718,34.97139,16.42801,15.5722,8388607,3633051,3351197,3498459,2265853,2109402,8388607,8388607
68142,12.55956,35.01591,35.2609,35.20831,35.07628,34.97437,16.42801,15.5722,8388607,3630230,3351909,3497591,2264479,2108493,8388607,8388607
68276,12.55956,35.01537,35.25764,35.2059,35.0763,34.97025,16.42801,15.5722,8388607,3630390,3352895,3498300,2264472,2109748,8388607,8388607
68409,12.55956,35.01467,35.24842,35.2154,35.07288,34.97244,16.42801,15.5722,8388607,3630598,3355683,3495501,2265521,2109081,8388607,8388607
68542,12.55956,35.00716,35.25751,35.21144,35.08089,34.97208,16.42801,15.5722,8388607,3632821,3352934,3496668,2263065,2109191,8388607,8388607
68675,12.55956,35.01561,35.26027,35.21069,35.07735,34.97159,16.42801,15.5722,8388607,3630318,3352099,3496888,2264149,2109340,8388607,8388607
68809,12.55956,35.01608,35.2534,35.21484,35.07494,34.97696,16.42801,15.5722,8388607,3630181,3354176,3495665,2264888,2107704,8388607,8388607
68942,12.55956,35.01079,35.26289,35.21165,35.07968,34.97223,16.42801,15.5722,8388607,3631747,3351308,3496606,2263436,2109146,8388607,8388607
69075,12.55956,35.01707,35.26762,35.20661,35.07457,34.96586,16.42801,15.5722,8388607,3629887,3349875,3498090,2265002,2111085,8388607,8388607
69208,12.55956,35.01827,35.2685,35.2177,35.07282,34.96916,16.42801,15.5722,8388607,3629530,3349610,3494823,2265539,2110081,8388607,8388607
69352,12.55956,35.02546,35.27063,35.21497,35.07248,34.9674,16.42801,15.5722,8388607,3627402,3348967,3495629,2265643,2110617,8388607,8388607
69545,12.55956,35.02237,35.2721,35.21458,35.07838,34.98426,16.42801,15.5722,8388607,3628317,3348523,3495742,2263834,2105482,8388607,8388607
69678,12.55956,35.01157,35.27436,35.20649,35.08135,34.97955,16.42801,15.5722,8388607,3631516,3347837,3498125,2262925,2106917,8388607,8388607
69811,12.55956,35.01431,35.26902,35.21295,35.07196,34.97679,16.42801,15.5722,8388607,3630703,3349452,3496222,2265802,2107758,8388607,8388607
69955,12.55956,35.01406,35.27352,35.21418,35.07684,34.97346,16.42801,15.5722,8388607,3630776,3348091,3495859,2264305,2108770,8388607,8388607
70098,12.55956,35.01461,35.27158,35.2072,35.07766,34.97082,16.42801,15.5722,8388607,3630615,3348680,3497918,2264054,2109575,8388607,8388607
70241,12.55956,35.01167,35.27379,35.21519,35.07992,34.9712,16.42801,15.5722,8388607,3631484,3348011,3495563,2263363,2109458,8388607,8388607
70384,12.55956,35.01631,35.26571,35.21465,35.07411,34.97418,16.42801,15.5722,8388607,3630112,3350454,3495723,2265143,2108550,8388607,8388607
70528,12.55956,35.0189,35.26823,35.22217,35.07581,34.97669,16.42801,15.5722,8388607,3629344,3349692,3493506,2264622,2107786,8388607,8388607
70671,12.55956,35.02074,35.26489,35.2132,35.07955,34.9747,16.42801,15.5722,8388607,3628797,3350701,3496150,2263476,2108393,8388607,8388607
70814,12.55956,35.01552,35.26637,35.21286,35.07424,34.96668,16.42801,15.5722,8388607,3630346,3350254,3496250,2265103,2110835,8388607,8388607
70967,12.55956,35.01302,35.26058,35.21807,35.0764,34.97244,16.42801,15.5722,8388607,3631084,3352004,3494712,2264442,2109083,8388607,8388607
71111,12.55956,35.0177,35.2636,35.22077,35.07693,34.96943,16.42801,15.5722,8388607,3629700,3351093,3493918,2264279,2109998,8388607,8388607
71324,12.55956,35.01232,35.26623,35.21123,35.07961,34.98193,16.42801,15.5722,8388607,3631292,3350297,3496730,2263459,2106190,8388607,8388607
71467,12.55956,35.01573,35.26531,35.21827,35.07529,34.97594,16.42801,15.5722,8388607,3630283,3350574,3494656,2264782,2108015,8388607,8388607
71620,12.55956,35.01302,35.26961,35.21086,35.07884,34.97312,16.42801,15.5722,8388607,3631085,3349274,3496839,2263694,2108874,8388607,8388607
71764,12.55956,35.01231,35.26642,35.21585,35.08464,34.9763,16.42801,15.5722,8388607,3631297,3350238,3495367,2261916,2107907,8388607,8388607
71917,12.55956,35.01275,35.26685,35.21004,35.07854,34.97335,16.42801,15.5722,8388607,3631165,3350109,3497081,2263786,2108803,8388607,8388607
72070,12.55956,35.02071,35.26207,35.21529,35.07867,34.97792,16.42801,15.5722,8388607,3628806,3351556,3495534,2263746,2107411,8388607,8388607
72253,12.55956,35.01786,35.26917,35.21324,35.08109,34.97176,16.42801,15.5722,8388607,3629653,3349408,3496138,2263003,2109288,8388607,8388607
72376,12.55956,35.01757,35.26704,35.20536,35.08097,34.97008,16.42801,15.5722,8388607,3629739,3350053,3498460,2263040,2109800,8388607,8388607
72510,12.55956,35.02217,35.26179,35.21048,35.07507,34.97097,16.42801,15.5722,8388607,3628376,3351639,3496951,2264851,2109529,8388607,8388607
72643,12.55956,35.02091,35.26848,35.20723,35.0788,34.96824,16.42801,15.5722,8388607,3628749,3349617,3497907,2263704,2110360,8388607,8388607
72776,12.55956,35.01795,35.26696,35.20606,35.07879,34.97131,16.42801,15.5722,8388607,3629626,3350077,3498252,2263708,2109427,8388607,8388607
72909,12.55956,35.02165,35.26791,35.21006,35.07359,34.97244,16.42801,15.5722,8388607,3628530,3349789,3497073,2265303,2109081,8388607,8388607
73102,12.55956,35.0201,35.27932,35.20976,35.0848,34.97298,16.42801,15.5722,8388607,3628987,3346337,3497164,2261868,2108915,8388607,8388607
73236,12.55956,35.01508,35.27656,35.20503,35.07806,34.96686,16.42801,15.5722,8388607,3630475,3347172,3498556,2263933,2110781,8388607,8388607
