time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
21935,8388607,7277661,6881349,7137098,4539451,4270106,3056926,4758234
22069,8388607,7279495,6880278,7137686,4536589,4269740,3046011,4759545
22262,8388607,7277796,6883289,7137351,4538554,4269394,3045154,4759440
22395,8388607,7278962,6881012,7139702,4539200,4269667,3051837,4759590
22528,8388607,7278585,6880258,7140532,4536712,4271311,3049249,4761045
22672,8388607,7280398,6881348,7140381,4536979,4271564,3043361,4761020
22815,8388607,7279254,6882209,7139518,4541469,4271834,3037507,4761497
22948,8388607,7279758,6881350,7140071,4537780,4272927,3039112,4762324
23081,8388607,7277544,6883424,7136515,4538633,4270018,3052302,4760830
23215,8388607,7280941,6882639,7138433,4538150,4272548,3051780,4760357
23358,8388607,7279302,6883352,7137346,4539138,4270135,3049164,4760612
23491,8388607,7280498,6881305,7139706,4537203,4272947,3042548,4758523
23634,8388607,7280368,6883599,7138967,4538428,4271481,3043673,4760048
23778,8388607,7278423,6884713,7135014,4539463,4270111,3043199,4761517
23981,8388607,7278103,6884110,7137415,4539611,4270972,3045731,4760899
24124,8388607,7278012,6882319,7138531,4538792,4272504,3049643,4760289
24268,8388607,7279756,6881998,7140650,4537948,4273345,3037893,4760398
24401,8388607,7277322,6883555,7138240,4539289,4269552,3040358,4758737
24544,8388607,7277775,6883297,7137274,4539647,4272615,3040754,4760184
24687,8388607,7278342,6882530,7137290,4539648,4272644,3041784,4761635
24831,8388607,7279647,6882054,7136371,4538553,4271431,3033594,4760716
25004,8388607,7277590,6883245,7130916,4539202,4270142,3025265,4762728
25127,8388607,7279027,6883236,7135306,4538681,4270606,3023744,4762787
25250,8388607,7281583,6882661,7137197,4535568,4272083,3027648,4762701
25374,8388607,7280940,6882443,7138535,4534902,4272266,3033600,4760083
25497,8388607,7279370,6882784,7135249,4536926,4270145,3037247,4758949
25680,8388607,7278157,6885331,7134450,4536759,4270850,3034481,4758241
25803,8388607,7278672,6886250,7135790,4539015,4271527,3032636,4758410
25937,8388607,7279570,6883280,7135628,4540937,4271136,3033456,4757704
26060,8388607,7278687,6884068,7135649,4542473,4271081,3038963,4756053
26183,8388607,7277204,6883811,7135640,4540857,4270038,3042518,4757746
26306,8388607,7279538,6883248,7138430,4539577,4270723,3046152,4758372
26430,8388607,7279952,6880418,7138932,4536172,4271813,3044793,4759589
26553,8388607,7279821,6878984,7138754,4535409,4271139,3046243,4760726
26676,8388607,7279284,6880273,7139067,4536303,4270067,3041300,4758493
26800,8388607,7278013,6881308,7136827,4537507,4269245,3042348,4757112
26923,8388607,7277586,6882879,7135145,4537241,4269279,3041531,4754923
27056,8388607,7279516,6881694,7134739,4538819,4270820,3038631,4756116
27249,8388607,7281186,6880552,7138242,4538312,4271530,3033632,4759025
27372,8388607,7280235,6879501,7136293,4536761,4270490,3030035,4760454
27516,8388607,7279898,6879455,7135697,4538585,4269821,3027091,4759399
27649,8388607,7280736,6881483,7135841,4537297,4270137,3027456,4758435
27772,8388607,7279321,6878702,7135000,4536319,4270407,3031384,4757079
27905,8388607,7276234,6880497,7133343,4537862,4269602,3032043,4757651
28039,8388607,7279548,6881771,7135902,4538718,4268689,3039778,4757940
28162,8388607,7277389,6880530,7134513,4538148,4266642,3036295,4756379
28295,8388607,7279260,6878054,7139537,4538056,4268648,3033901,4758048
28429,8388607,7277643,6877754,7138926,4536871,4269204,3030578,4757832
28562,8388607,7277411,6880630,7136928,4538757,4268237,3027743,4757194
28695,8388607,7278732,6878547,7139471,4536120,4269800,3024529,4758049
28888,8388607,7277982,6879684,7138785,4539173,4269556,3028686,4758480
29022,8388607,7276415,6882355,7137225,4539257,4267417,3031771,4757639
29155,8388607,7278345,6879868,7138943,4538210,4270027,3032325,4758979
29288,8388607,7276186,6880490,7138259,4539766,4269862,3029131,4760481
29422,8388607,7275622,6881751,7134471,4539718,4268094,3029584,4759178
29555,8388607,7277663,6878587,7137696,4538458,4270853,3029658,4757584
29688,8388607,7276876,6880348,7136260,4538841,4272196,3023878,4758190
29821,8388607,7276424,6880806,7133549,4538697,4269979,3021926,4755151
29955,8388607,7277221,6878936,7136065,4533880,4270594,3020165,4753551
30088,8388607,7275536,6881031,7135349,4533400,4270380,3019318,4752415
30221,8388607,7274874,6880947,7134284,4533769,4268851,3021608,4753161
30355,8388607,7278307,6879701,7135960,4533735,4270490,3020099,4756740
30548,8388607,7274748,6880137,7134763,4535082,4270217,3017390,4758942
30691,8388607,7275383,6878710,7136970,4535358,4270979,3013548,4761827
30834,8388607,7276722,6878482,7137843,4535279,4270506,3011472,4759783
30968,8388607,7273816,6878926,7135402,4536439,4268625,3016757,4758404
31101,8388607,7274637,6880560,7134837,4537346,4267656,3015459,4756643
31244,8388607,7273186,6879411,7133303,4537812,4267355,3015361,4758070
