,Time,Water 1 temp,Water 2 temp,ECMO 1 temp,ECMO 2 temp,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
8567,342.668555713,36.998589901,36.996538204,36.996675778,36.996352273,36.997595045,36.996551170,-360.994058184,,
8568,342.708559047,36.996774703,36.993379170,36.997333671,36.994676515,36.994920495,36.995931516,-360.994059977,,
8569,342.748562380,36.997656443,36.996552736,36.997811916,36.995743532,36.997296820,36.996737400,-360.994061767,,
8570,342.788565714,36.998166822,36.996187473,36.995300475,36.995480983,36.997038291,36.995790294,-360.994063555,,
8571,342.828569047,36.999004815,36.995633342,36.994667409,36.995606656,36.997643034,36.997450090,-360.994065342,,
8572,342.868572381,36.997907395,36.995897677,36.996672405,36.995511118,36.996801925,36.995194178,-360.994067129,,
8573,342.908575715,36.997466556,36.994791830,36.997099454,36.997225134,36.996695656,36.995900451,-360.994068915,,
8574,342.948579048,36.996847630,36.994515571,36.998729138,36.994496749,36.996905765,36.996116759,-360.994070700,,
8575,342.988582382,36.997534334,36.993796959,36.996899797,36.994726622,36.997232584,36.995508495,-360.994072482,,
8576,343.028585715,36.999438831,36.995242113,36.996028236,36.994875210,36.997949822,36.995767380,-360.994074262,,
8577,343.068589049,36.997046550,36.996017027,36.996507582,36.995345603,36.999119982,36.995745564,-360.994076040,,
8578,343.108592383,36.997264805,36.996594376,36.994819342,36.995364838,36.997507730,36.997771300,-360.994077818,,
8579,343.148595716,36.997019927,36.992847426,36.997013958,36.996051160,36.995980732,36.995126473,-360.994079596,,
8580,343.188599050,36.998199979,36.993126797,36.997853382,36.994454654,36.997239461,36.997216159,-360.994081370,,
8581,343.228602384,36.997992458,36.995914356,36.996095996,36.996168836,36.995590058,36.995894959,-360.994083141,,
8582,343.268605717,36.997021048,36.995726535,36.997187743,36.996683643,36.997782575,36.996837271,-360.994084911,,
8583,343.308609051,36.998516533,36.997026931,36.993780241,36.993562521,36.997309790,36.997855618,-360.994086682,,
8584,343.348612384,36.998483794,36.995994561,36.996339573,36.996665971,36.998136890,36.996352617,-360.994088453,,
8585,343.388615718,36.997497728,36.996493123,36.996879787,36.995147238,36.997920388,36.995082412,-360.994090220,,
8586,343.428619052,36.998340548,36.996610617,36.997011629,36.995115469,36.996784079,36.995136243,-360.994091985,,
8587,343.468622385,36.998646985,36.995525469,36.998185099,36.995827889,36.999052728,36.995769520,-360.994093751,,
8588,343.508625719,36.997871015,36.994475974,36.996211348,36.994050098,36.995214482,36.997687425,-360.994095517,,
8589,343.548629052,36.997573149,36.993980451,36.996948977,36.995354745,36.996037584,36.996194868,-360.994097279,,
8590,343.588632386,36.997900998,36.996886305,36.996633202,36.995082778,36.996229107,36.996927623,-360.994099038,,
8591,343.628635720,36.997425242,36.995699559,36.996354799,36.995541391,36.997732372,36.996380200,-360.994100798,,
8592,343.668639053,36.999239861,36.995492562,36.998086187,36.994490280,36.995834987,36.997616205,-360.994102556,,
8593,343.708642387,36.999136118,36.994817316,36.996953373,36.995703261,36.995706498,36.998409455,-360.994104313,,
8594,343.748645720,36.997968532,36.995765668,36.998683831,36.995453567,36.998002693,36.996564393,-360.994106067,,
8595,343.788649054,36.997646587,36.994872332,36.996625513,36.995377628,36.998413343,36.996963789,-360.994107823,,
8596,343.828652388,36.999870239,36.995759214,36.996259615,36.996085698,36.996701102,36.996692806,-360.994109577,,
8597,343.868655721,36.996715890,36.995899609,36.996394638,36.997028616,36.995864583,36.996144731,-360.994111329,,
8598,343.908659055,36.997847897,36.996352254,36.996876431,36.995931025,36.995960868,36.995986301,-360.994113080,,
8599,343.948662389,36.996048794,36.994415178,36.996801330,36.994375599,36.995939142,36.994955976,-360.994114828,,
8600,343.988665722,36.997938523,36.996163949,36.996480144,36.994442598,36.996190213,36.996451817,-360.994116575,,
8601,344.028669056,36.999718570,36.996218046,36.998352107,36.996280504,36.996671212,36.996956179,-360.994118321,,
8602,344.068672389,36.998003662,36.994740730,36.996253228,36.995299634,36.995064632,36.996416691,-360.994120066,,
8603,344.108675723,36.996845327,36.996613797,36.995779866,36.996297904,36.998891281,36.996734166,-360.994121812,,
8604,344.148679057,36.996705246,36.997197728,36.997879398,36.996775881,36.998317701,36.995283382,-360.994123553,,
8605,344.188682390,36.998412201,36.994823940,36.997433087,36.996981137,36.995983181,36.996706336,-360.994125292,,
8606,344.228685724,36.999511985,36.994150526,36.998931634,36.994807565,36.997135196,36.995932722,-360.994127031,,
8607,344.268689057,36.997545585,36.995501113,36.995738245,36.997551039,36.997247133,36.997979243,-360.994128769,,
8608,344.308692391,36.994862446,36.996005208,36.997433755,36.994359974,36.996027036,36.997592757,-360.994130503,,
8609,344.348695725,36.999577248,36.995841257,36.996426830,36.994599234,36.997101243,36.995368039,-360.994132239,,
8610,344.388699058,36.998355881,36.995114400,36.995637042,36.994980770,36.995896651,36.995804575,-360.994133970,,
8611,344.428702392,36.996941283,36.995454429,36.996107162,36.994584968,36.996018227,36.995929909,-360.994135705,,
8612,344.468705725,36.999029044,36.995609880,36.996509575,36.994953243,36.998150314,36.996211437,-360.994137436,,
8613,344.508709059,36.997878474,36.996651033,36.997745106,36.995302309,36.997453037,36.996947869,-360.994139166,,
8614,344.548712393,36.997765785,36.996390511,36.996106207,36.994965575,36.995837932,36.996033397,-360.994140890,,
8615,344.588715726,36.998344192,36.993371658,36.996861812,36.995853731,36.997374953,36.996298736,-360.994142614,,
8616,344.628719060,36.997926639,36.996660785,36.996443915,36.994417327,36.996344589,36.994760253,-360.994144339,,
8617,344.668722394,36.997078180,36.995962415,36.995467323,36.994664127,36.994567176,36.996302332,-360.994146062,,
8618,344.708725727,36.997201638,36.995008671,36.997922059,36.995961489,36.995879643,36.994783185,-360.994147784,,
8619,344.748729061,36.998039906,36.995122646,36.996504681,36.994991449,36.995739726,36.995828029,-360.994149503,,
8620,344.788732394,36.997078086,36.995214038,36.999121156,36.996599343,36.996745269,36.996970169,-360.994151226,,
8621,344.828735728,36.999118882,36.995886353,36.997423572,36.996519172,36.997638529,36.994581187,-360.994152945,,
8622,344.868739062,36.997442367,36.994953515,36.997388079,36.996254565,36.995211747,36.995635257,-360.994154661,,
8623,344.908742395,36.996614360,36.994807761,36.995679454,36.995588739,36.997337232,36.997052011,-360.994156376,,
8624,344.948745729,36.994233409,36.995046392,36.996374497,36.996136838,36.996222103,36.996046179,-360.994158095,,
8625,344.988749062,36.996627223,36.996676611,36.997123344,36.995345501,36.996678105,36.996209437,-360.994159807,,
8626,345.028752396,36.997508319,36.994008150,36.996794194,36.995292317,36.997280273,36.997891775,-360.994161516,,
8627,345.068755730,36.999310881,36.995036289,36.997416410,36.995647504,36.998372009,36.995428073,-360.994163229,,
8628,345.108759063,36.997915928,36.995595257,36.997304386,36.995885507,36.997196220,36.995190083,-360.994164940,,
8629,345.148762397,36.998012536,36.994423218,36.995410947,36.995562348,36.997557235,36.997894233,-360.994166652,,
8630,345.188765730,36.998082271,36.998366482,36.997857326,36.996262108,36.995515079,36.996237035,-360.994168358,,
8631,345.228769064,36.998113385,36.995720673,36.996824757,36.995242111,36.995170925,36.995577024,-360.994170066,,
8632,345.268772398,36.997875508,36.995293083,36.997056743,36.995250426,36.996005404,36.996847379,-360.994171769,,
8633,345.308775731,36.997309617,36.996005439,36.996445114,36.996914011,36.996214096,36.995016117,-360.994173472,,
8634,345.348779065,36.997847995,36.994792413,36.997935878,36.993760793,36.995987143,36.995623771,-360.994175173,,
8635,345.388782399,36.996001604,36.994109280,36.997399040,36.997933834,36.998167635,36.996548921,-360.994176875,,
8636,345.428785732,36.996988379,36.996010293,36.995948955,36.996569749,36.997289127,36.996358319,-360.994178577,,
8637,345.468789066,36.996512696,36.994512210,36.997059826,36.995286943,36.994570903,36.997162181,-360.994180276,,
8638,345.508792399,36.996882019,36.997245844,36.998716800,36.994975955,36.995430922,36.996362422,-360.994181972,,
8639,345.548795733,36.998126271,36.995793150,36.995914259,36.997373290,36.997973996,36.995780292,-360.994183671,,
8640,345.588799067,36.997943890,36.995506410,36.996947855,36.994295130,36.996726053,36.998541445,-360.994185362,,
