,0
294,-3.496762024
295,-3.484229146
296,-3.471741188
297,-3.459297988
298,-3.446899387
299,-3.434545224
300,-3.422235339
301,-3.409969576
302,-3.397747774
303,-3.385569777
304,-3.373435427
305,-3.361344569
306,-3.349297046
307,-3.337292703
308,-3.325331385
309,-3.313412939
310,-3.301537209
311,-3.289704044
312,-3.277913291
313,-3.266164797
314,-3.254458411
315,-3.242793983
316,-3.231171362
317,-3.219590398
318,-3.208050941
319,-3.196552844
320,-3.185095957
321,-3.173680134
322,-3.162305226
323,-3.150971087
324,-3.139677572
325,-3.128424534
326,-3.117211829
327,-3.106039311
328,-3.094906838
329,-3.083814264
330,-3.072761448
331,-3.061748247
332,-3.050774519
333,-3.039840122
334,-3.028944915
335,-3.018088758
336,-3.007271511
337,-2.996493035
338,-2.985753190
339,-2.975051839
340,-2.964388842
341,-2.953764064
342,-2.943177365
343,-2.932628611
344,-2.922117666
345,-2.911644392
346,-2.901208657
347,-2.890810325
348,-2.880449261
349,-2.870125334
350,-2.859838408
351,-2.849588353
352,-2.839375035
353,-2.829198322
354,-2.819058085
355,-2.808954192
356,-2.798886512
357,-2.788854917
358,-2.778859276
359,-2.768899460
360,-2.758975342
361,-2.749086794
362,-2.739233687
363,-2.729415896
364,-2.719633292
365,-2.709885751
366,-2.700173146
367,-2.690495353
368,-2.680852246
369,-2.671243702
370,-2.661669596
371,-2.652129804
372,-2.642624205
373,-2.633152675
374,-2.623715092
375,-2.614311335
376,-2.604941283
377,-2.595604813
378,-2.586301807
379,-2.577032145
380,-2.567795706
381,-2.558592371
382,-2.549422023
383,-2.540284543
384,-2.531179812
385,-2.522107714
386,-2.513068132
387,-2.504060949
388,-2.495086049
389,-2.486143316
390,-2.477232635
391,-2.468353891
392,-2.459506970
393,-2.450691758
394,-2.441908140
395,-2.433156004
396,-2.424435237
397,-2.415745727
398,-2.407087361
399,-2.398460027
400,-2.389863615
401,-2.381298014
402,-2.372763113
403,-2.364258803
404,-2.355784973
405,-2.347341514
406,-2.338928318
407,-2.330545276
408,-2.322192280
409,-2.313869223
410,-2.305575996
411,-2.297312493
412,-2.289078608
413,-2.280874235
414,-2.272699266
415,-2.264553598
416,-2.256437126
417,-2.248349744
418,-2.240291348
419,-2.232261834
420,-2.224261100
421,-2.216289041
422,-2.208345555
423,-2.200430540
424,-2.192543893
425,-2.184685513
426,-2.176855298
427,-2.169053148
428,-2.161278963
429,-2.153532640
430,-2.145814082
