,Time,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
92,3.641213738,37.000653013,36.999382132,0.000000000,,
93,3.681227076,36.999282431,36.998599382,0.000000000,,
94,3.721240413,36.998624137,36.999696932,0.000000000,,
95,3.761253751,36.999485609,36.999569496,0.000000000,,
96,3.801267089,37.001597298,37.002691690,0.000000000,,
97,3.841280427,36.999270465,37.000257219,0.000000000,,
98,3.881293765,37.000005659,36.999929345,0.000000000,,
99,3.921307102,37.000615903,36.999727667,0.000000000,,
100,3.961320440,37.002536244,37.000127126,0.000000000,,
101,4.001333778,36.999848151,37.000531690,0.000000000,,
102,4.041347116,36.999663668,36.999029177,0.000000000,,
103,4.081360453,37.000526299,37.000627185,0.000000000,,
104,4.121373791,36.999844590,36.998879261,0.000000000,,
105,4.161387129,37.001013015,37.000439653,0.000000000,,
106,4.201400467,37.000589279,37.001692839,0.000000000,,
107,4.241413805,37.001487343,37.001469128,0.000000000,,
108,4.281427142,37.000346503,37.000930069,0.000000000,,
109,4.321440480,37.000549230,36.998996757,0.000000000,,
110,4.361453818,37.000277121,37.000128514,0.000000000,,
111,4.401467156,36.999261045,37.000248168,0.000000000,,
112,4.441480493,36.998909728,37.000219447,0.000000000,,
113,4.481493831,36.998346905,37.000074299,0.000000000,,
114,4.521507169,36.998740645,37.003139222,0.000000000,,
115,4.561520507,37.000907455,36.999318613,0.000000000,,
116,4.601533845,37.001564206,37.001582546,0.000000000,,
117,4.641547182,36.999304404,37.000248701,0.000000000,,
118,4.681560520,37.000742546,36.999816469,0.000000000,,
119,4.721573858,37.002064194,37.000471812,0.000000000,,
120,4.761587196,36.998843257,36.999457447,0.000000000,,
121,4.801600534,37.000232613,36.999906596,0.000000000,,
122,4.841613871,36.999669536,37.001361103,0.000000000,,
123,4.881627209,36.999041739,37.000253025,0.000000000,,
124,4.921640547,36.999979482,36.999383532,0.000000000,,
125,4.961653885,37.001833600,36.998778565,0.000000000,,
126,5.001667222,37.000019730,36.999825413,0.000000000,,
127,5.041680560,36.998724328,37.000558523,0.000000000,,
128,5.081693898,36.998515917,37.000428991,0.000000000,,
129,5.121707236,37.001227694,37.000235206,0.000000000,,
130,5.161720574,37.000338888,36.999125344,0.000000000,,
131,5.201733911,36.998698245,37.000018407,0.000000000,,
132,5.241747249,37.001255100,36.999765814,0.000000000,,
133,5.281760587,37.001226180,36.999487166,0.000000000,,
134,5.321773925,36.998641845,36.998846960,0.000000000,,
135,5.361787262,36.999894718,37.000476190,0.000000000,,
136,5.401800600,36.999930881,37.000465036,0.000000000,,
137,5.441813938,37.000185905,37.000919276,0.000000000,,
138,5.481827276,37.001196261,36.999084492,0.000000000,,
139,5.521840614,37.000946129,36.999075014,0.000000000,,
140,5.561853951,36.998916333,36.999605462,0.000000000,,
141,5.601867289,36.998365980,36.999718059,0.000000000,,
142,5.641880627,36.999189944,37.000077567,0.000000000,,
143,5.681893965,36.998931848,36.999383216,0.000000000,,
144,5.721907302,37.000264262,37.000283463,0.000000000,,
145,5.761920640,36.999715533,36.999493445,0.000000000,,
146,5.801933978,36.998363514,36.999273323,0.000000000,,
147,5.841947316,37.000428791,36.999896316,0.000000000,,
148,5.881960654,36.999932536,36.998921778,0.000000000,,
149,5.921973991,36.998549381,37.000502727,0.000000000,,
150,5.961987329,36.997572649,36.999408397,0.000000000,,
151,6.002000667,36.999486987,37.000753220,0.000000000,,
152,6.042014005,37.000201773,37.001113455,0.000000000,,
153,6.082027342,37.001165240,37.001462364,0.000000000,,
154,6.122040680,36.999254149,36.998969232,0.000000000,,
155,6.162054018,37.000293351,36.998637126,0.000000000,,
156,6.202067356,37.000148682,37.000889060,0.000000000,,
157,6.242080694,37.000466280,36.999352487,0.000000000,,
158,6.282094031,36.999297278,37.000427200,0.000000000,,
159,6.322107369,37.000065047,36.999240419,0.000000000,,
160,6.362120707,36.998441387,36.999598522,0.000000000,,
161,6.402134045,36.998547917,36.998504192,0.000000000,,
162,6.442147382,36.997738990,36.999154271,0.000000000,,
163,6.482160720,36.999671047,37.000327010,0.000000000,,
164,6.522174058,36.998819937,36.997010973,0.000000000,,
165,6.562187396,37.001040915,36.999224957,0.000000000,,
166,6.602200734,36.999700847,36.999720473,0.000000000,,
167,6.642214071,37.001441034,37.000588486,0.000000000,,
168,6.682227409,37.001195262,36.998999042,0.000000000,,
169,6.722240747,37.000359587,36.999786445,0.000000000,,
170,6.762254085,36.999592050,37.000161078,0.000000000,,
171,6.802267422,37.000643196,37.001743294,0.000000000,,
172,6.842280760,37.000215040,37.001784209,0.000000000,,
173,6.882294098,37.000607481,37.000568311,0.000000000,,
174,6.922307436,36.999628635,36.999704035,0.000000000,,
175,6.962320774,36.998650654,37.000572275,0.000000000,,
176,7.002334111,37.000372005,36.999993243,0.000000000,,
177,7.042347449,36.999494489,37.002225342,0.000000000,,
178,7.082360787,36.999029708,37.001042853,0.000000000,,
179,7.122374125,37.000578960,36.999652761,0.000000000,,
180,7.162387462,36.999349480,36.999361311,0.000000000,,
181,7.202400800,37.000209166,37.001150055,0.000000000,,
182,7.242414138,36.999401203,37.000481233,0.000000000,,
183,7.282427476,37.001580111,37.000937045,0.000000000,,
184,7.322440814,36.999864216,37.000980216,0.000000000,,
185,7.362454151,37.000642693,37.000801972,0.000000000,,
186,7.402467489,37.000845511,37.000262561,0.000000000,,
187,7.442480827,36.997744921,37.000332145,0.000000000,,
188,7.482494165,36.999122361,36.998853026,0.000000000,,
189,7.522507503,37.001187902,36.997368945,0.000000000,,
190,7.562520840,37.000381434,36.999564177,0.000000000,,
191,7.602534178,37.000064873,36.998410018,0.000000000,,
192,7.642547516,37.000488198,36.999540374,0.000000000,,
193,7.682560854,37.001124117,37.000561222,0.000000000,,
194,7.722574191,37.000515156,37.000041538,0.000000000,,
195,7.762587529,37.000591954,37.001634635,0.000000000,,
196,7.802600867,37.000264658,37.001441484,0.000000000,,
197,7.842614205,37.000666577,37.000601264,0.000000000,,
198,7.882627543,36.999696321,37.000761674,0.000000000,,
199,7.922640880,36.998661018,37.000876512,0.000000000,,
200,7.962654218,36.998989182,36.998725316,0.000000000,,
201,8.002667556,36.999651558,36.999663940,0.000000000,,
202,8.042680894,37.001130116,37.000325470,0.000000000,,
203,8.082694231,36.998876356,37.000855916,0.000000000,,
204,8.122707569,37.000349623,37.000638941,0.000000000,,
205,8.162720907,36.999396592,37.000494382,0.000000000,,
206,8.202734245,36.999220839,37.000986059,0.000000000,,
207,8.242747583,36.999498825,36.999104437,0.000000000,,
208,8.282760920,37.000888265,37.000159469,0.000000000,,
209,8.322774258,37.001914958,37.000893841,0.000000000,,
210,8.362787596,36.999827722,36.997937875,0.000000000,,
211,8.402800934,37.001052447,37.000903163,0.000000000,,
212,8.442814271,36.999222111,37.001133875,0.000000000,,
213,8.482827609,37.000427277,37.001113519,0.000000000,,
214,8.522840947,37.000165201,36.999792148,0.000000000,,
215,8.562854285,37.001050518,37.000243169,0.000000000,,
216,8.602867623,36.999827945,36.998878608,0.000000000,,
217,8.642880960,37.000086239,36.999499796,0.000000000,,
218,8.682894298,36.998957266,37.000112228,0.000000000,,
219,8.722907636,37.002667559,37.001147743,0.000000000,,
220,8.762920974,36.997508313,36.998428928,0.000000000,,
221,8.802934311,36.998420013,37.000639428,0.000000000,,
222,8.842947649,37.000730561,37.000136224,0.000000000,,
223,8.882960987,37.000241574,37.000329211,0.000000000,,
224,8.922974325,37.000694163,37.000866650,0.000000000,,
225,8.962987663,37.000615173,37.000065454,0.000000000,,
226,9.003001000,37.001588351,36.999246711,0.000000000,,
227,9.043014338,37.000252166,37.001328807,0.000000000,,
228,9.083027676,36.999880111,36.997902433,0.000000000,,
229,9.123041014,37.000906470,37.000555110,0.000000000,,
230,9.163054351,37.000134405,36.999664238,0.000000000,,
231,9.203067689,37.000591212,37.000002050,0.000000000,,
232,9.243081027,36.998712494,36.999321558,0.000000000,,
233,9.283094365,37.001499493,37.000370849,0.000000000,,
234,9.323107703,37.000746471,36.999738281,0.000000000,,
